epoch,step,train_loss,val_loss
0,49,0.4243376851081848,
0,99,0.29971420764923096,
0,149,0.20623774826526642,
0,199,0.1715749055147171,
0,249,0.1573518067598343,
0,299,0.14683540165424347,
0,349,0.13803035020828247,
0,399,0.13614898920059204,
0,449,0.12865836918354034,
0,499,0.13633057475090027,
0,549,0.13505013287067413,
0,599,0.12866799533367157,
0,649,0.12943752110004425,
0,699,0.13164184987545013,
0,749,0.13372941315174103,
0,799,0.13519121706485748,
0,849,0.12434922903776169,
0,899,0.14059855043888092,
0,949,0.12496352940797806,
0,999,0.12684185802936554,
0,1049,0.1338890939950943,
0,1099,0.13422144949436188,
0,1149,0.12368465960025787,
0,1199,0.1180095225572586,
0,1249,0.12515753507614136,
0,1299,0.12731918692588806,
0,1349,0.1262894719839096,
0,1399,0.12422601878643036,
0,1449,0.13043014705181122,
0,1499,0.12261193990707397,
0,1549,0.12100162357091904,
0,1599,0.12423974275588989,
0,1649,0.12011949717998505,
0,1699,0.12051132321357727,
0,1749,0.12427622079849243,
0,1799,0.1260351687669754,
0,1849,0.12054324895143509,
0,1899,0.12277655303478241,
0,1949,0.12252303957939148,
0,1999,0.124189592897892,
0,2049,0.12027725577354431,
0,2099,0.1171739250421524,
0,2149,0.11980760842561722,
0,2199,0.12003251165151596,
0,2249,0.12278887629508972,
0,2299,0.12336142361164093,
0,2349,0.11331699788570404,
0,2399,0.11765560507774353,
0,2449,0.12376721948385239,
0,2499,0.11518882215023041,
0,2549,0.11310761421918869,
0,2599,0.11267115920782089,
0,2649,0.11845343559980392,
0,2699,0.1194612979888916,
0,2749,0.11573567986488342,
0,2799,0.11500231176614761,
0,2849,0.11392154544591904,
0,2899,0.10978644341230392,
0,2949,0.11810074746608734,
0,2999,0.12490621209144592,
0,3049,0.11713574081659317,
0,3099,0.11672667413949966,
0,3149,0.12070398032665253,
0,3199,0.11741951107978821,
0,3249,0.12050733715295792,
0,3299,0.12461775541305542,
0,3349,0.1195049062371254,
0,3399,0.12001272290945053,
0,3449,0.11343436688184738,
0,3499,0.11792877316474915,
0,3549,0.1159595474600792,
0,3599,0.1209842786192894,
0,3649,0.11940546333789825,
0,3699,0.11803795397281647,
0,3749,0.11421126127243042,
0,3799,0.11664096266031265,
0,3849,0.1217326894402504,
0,3899,0.11921665817499161,
0,3949,0.11673908680677414,
0,3999,0.11506219953298569,
0,4049,0.1118030920624733,
0,4099,0.12146610766649246,
0,4149,0.1124839335680008,
0,4199,0.12214440852403641,
